rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,1,OLD,20192399,1917,2020-02-19,22687060,14.2,6591580,41,6778773820,2530,592,30.5,745007,329,569,20200410
2,2,-1,OLD,20205262,엽문4: 더 파이널,2020-04-01,21907500,13.7,3302300,17.7,372652900,2439,207,9.3,43446,180,474,20200410
3,3,0,OLD,20206402,오픈 더 도어 ,2020-04-08,14036400,8.8,1903200,15.7,40850300,1511,63,4.4,4719,155,320,20200410
4,4,0,OLD,20204107,주디,2020-03-25,13463160,8.4,2903520,27.5,625730060,1499,221,17.3,76883,261,445,20200410
5,5,0,OLD,20199842,인비저블맨,2020-02-26,10499960,6.6,3084040,41.6,4887930000,1117,234,26.5,560737,204,296,20200410
6,6,0,OLD,20206446,n번째 이별 중,2020-04-01,8644900,5.4,1307200,17.8,136219100,915,54,6.3,15285,133,273,20200410
7,7,0,OLD,20167904,라라랜드,2016-12-07,4215820,2.6,804420,23.6,30312750788,780,134,20.7,3636444,80,166,20200410
8,8,0,OLD,20205902,신과 나: 100일간의 거래,2020-04-08,5328720,3.3,478300,9.9,29087500,611,-9,-1.5,3475,185,255,20200410
9,9,4,OLD,20128588,"그 시절, 우리가 좋아했던 소녀",2012-08-22,2603500,1.6,550500,26.8,343370270,518,111,27.3,47670,30,48,20200410
10,10,0,OLD,20205190,사랑이 뭘까,2020-04-09,4920280,3.1,948200,23.9,12334360,490,0,0,1430,105,133,20200410
1,1,0,OLD,20205262,엽문4: 더 파이널,2020-04-01,18605200,13.0,-1981800,-9.6,350745400,2232,-244,-9.9,41007,177,461,20200409
2,2,0,OLD,20192399,1917,2020-02-19,16095480,11.3,-519800,-3.1,6756086760,1938,-71,-3.5,742477,305,518,20200409
3,3,0,OLD,20206402,오픈 더 도어 ,2020-04-08,12133200,8.5,-2547500,-17.4,26813900,1448,-312,-17.7,3208,145,321,20200409
4,4,0,OLD,20204107,주디,2020-03-25,10559640,7.4,-1210740,-10.3,612266900,1278,-141,-9.9,75384,255,414,20200409
5,5,1,OLD,20199842,인비저블맨,2020-02-26,7415920,5.2,-1682480,-18.5,4877430040,883,-192,-17.9,559620,208,282,20200409
6,6,1,OLD,20206446,n번째 이별 중,2020-04-01,7337700,5.1,-1464300,-16.6,127574200,861,-164,-16,14370,129,261,20200409
7,7,2,OLD,20167904,라라랜드,2016-12-07,3411400,2.4,-669780,-16.4,30308534968,646,-138,-17.6,3635664,70,145,20200409
8,8,-3,OLD,20205902,신과 나: 100일간의 거래,2020-04-08,4850420,3.4,-4103940,-45.8,23758780,620,-518,-45.5,2864,198,279,20200409
9,9,-1,OLD,20205841,더 터닝 ,2020-04-02,4181120,2.9,-2864860,-40.7,116349640,492,-361,-42.3,13285,140,181,20200409
10,10,2,OLD,20205190,사랑이 뭘까,2020-04-09,3972080,2.8,1851080,87.3,7414080,490,187,61.7,940,121,151,20200409
1,1,0,OLD,20205262,엽문4: 더 파이널,2020-04-01,20587000,14.0,181900,0.9,332140200,2476,4,0.2,38775,188,484,20200408
2,2,0,OLD,20192399,1917,2020-02-19,16615280,11.3,2762680,19.9,6739991280,2009,329,19.6,740539,309,531,20200408
3,3,0,NEW,20206402,오픈 더 도어 ,2020-04-08,14680700,10.0,14680700,100,14680700,1760,1760,100,1760,155,346,20200408
