movieCd,movieNm,showTm,actors,showTypes
20205262,엽문4: 더 파이널,104,4,1
20192399,1917,119,8,3
20204107,주디,117,1,1
20199842,인비저블맨,124,2,2
20206446,n번째 이별 중,104,2,1
20205841,더 터닝,94,2,1
20205708,스케어리 스토리:어둠의 속삭임,108,1,1
20167904,라라랜드,127,5,2
20204791,다크 워터스,127,7,1
20010013,봄날은 간다,113,16,2
20180962,지푸라기라도 잡고 싶은 짐승들,108,13,1
20204340,시원찮은 그녀를 위한 육성방법 피날레,114,1,1
20205321,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,76,0,1
20190280,날씨의 아이,112,3,2
20161872,너의 이름은.,106,8,4
20206424,사랑하고 있습니까,107,1,1
20193321,정직한 후보,104,14,1
20090528,페임,122,5,2
20206141,바이올렛 에버가든 – 영원과 자동 수기 인형 -,90,2,1
20199981,눈의 여왕4,87,14,2
20192240,작은 아씨들,134,7,1
20180523,스타 이즈 본,135,4,1
19980231,트루먼 쇼,102,2,2
20205096,세인트 아가타,103,3,1
20135428,어바웃 타임,123,3,2
20167542,분노의 질주: 더 익스트림,136,14,3
20010238,메멘토,113,3,2
20192751,찬실이는 복도 많지,95,5,2
19940116,쉰들러 리스트,196,3,2
20184574,그린 북,130,2,1
20204681,더 보이 2: 돌아온 브람스,86,4,1
20196828,걸즈 앤 판처 최종장,99,5,1
20040598,해리포터와 아즈카반의 죄수,136,3,2
20205529,그링고,110,5,1
20190864,울프 콜,115,4,1
20193526,젠틀맨,113,7,1
