rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20199842,인비저블맨,2020-02-26,43585380,22.3,-5891160,-11.9,4409430520,5210,-694,-11.8,504363,483,1130,20200324
2,2,0,OLD,20192399,1917,2020-02-19,40711640,20.8,716600,1.8,6197474320,4775,104,2.2,676039,489,1024,20200324
3,3,0,OLD,20204791,다크 워터스 ,2020-03-11,19967840,10.2,748680,3.9,943203760,2460,111,4.7,108239,404,790,20200324
4,4,0,OLD,20193321,정직한 후보,2020-02-12,7572620,3.9,-391480,-4.9,12756431310,1297,-16,-1.2,1523417,238,390,20200324
5,5,0,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,2020-02-19,9365900,4.8,821820,9.6,5331424090,1156,132,12.9,614216,236,374,20200324
6,6,0,OLD,20192240,작은 아씨들,2020-02-12,8627680,4.4,550380,6.8,7167651530,1077,78,7.8,850032,190,289,20200324
7,7,0,OLD,20180523,스타 이즈 본,2018-10-09,4914100,2.5,412240,9.2,4411249540,965,76,8.5,521017,168,227,20200324
8,8,0,OLD,19980231,트루먼 쇼,1998-10-24,4595000,2.3,118500,2.6,116297500,915,32,3.6,14327,104,160,20200324
9,9,0,OLD,20205096,세인트 아가타 ,2020-03-19,6274640,3.2,-27860,-0.4,99219080,753,5,0.7,11167,229,324,20200324
10,10,0,OLD,20135428,어바웃 타임,2013-12-05,3204500,1.6,446500,16.2,25229571800,627,83,15.3,3436649,64,86,20200324
1,1,0,OLD,20199842,인비저블맨,2020-02-26,49476540,25.3,-92045660,-65,4365845140,5904,-9534,-61.8,499153,500,1206,20200323
2,2,0,OLD,20192399,1917,2020-02-19,39995040,20.4,-72101620,-64.3,6156762680,4671,-7604,-61.9,671264,469,1009,20200323
3,3,0,OLD,20204791,다크 워터스 ,2020-03-11,19219160,9.8,-46087740,-70.6,923235920,2349,-4841,-67.3,105779,392,770,20200323
