,title,href,contents
0,"이재명, 배달의민족 저격 ""힘 좀 가졌다고…독과점 횡포 시작""",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002990335&date=20200405&type=1&rankingSeq=1&rankingSectionId=100,"이재명 경기도지사가 배달앱 플랫폼 배달의민족을 비판하는 글을 지난 4일 오후 페이스북에 올렸다. 이재명 경기도지사 페이스북 캡처        이재명 경기도지사가 배달앱 1위 업체 배달의민족을 겨냥해 ""독과점 횡포""라는 표현을 쓰며 공개 비판했다. 배달의민족이 최근 수수료 부과 방식을 변경한 뒤 영세업자들이 '수수료 폭탄'을 맞았다는 보도가 나온 데 따른 것이다.     이 지사는 지난 4일 오후 페이스북에 배달의민족 관련 기사를 공유하면서 ""독과점의 횡포가 시작되는가 보다. 대책을 세워야겠다""고 썼다.     그는 ""안 그래도 힘든 상황에서 힘 좀 가졌다고 힘 없는 다수에게 피해를 입히며 부당한 이익을 얻으면 되겠는가""라며 ""독과점과 불공정 거래로 불평등과 격차를 키우면 결국 시장경제생태계가 망가지고 그 업체도 결국 손해를 본다""고 지적했다.     그러면서 ""기득권자들의 횡포를 억제하고 다수 약자들을 보호해서 실질적으로 공정한 경쟁질서를 만들어 주는 것이 바로 국가의 역할""이라며 ""독과점 배달앱의 횡포를 억제하고 합리적 경쟁체계를 만드는 방법을 강구해야겠다""고 덧붙였다.      배달의민족은 최근 영세 사업자들에게 도움을 주겠다며 수수료 부과 방식을 바꿨다. 8만8000원 월정액 광고인 '울트라콜' 중심의 기존 체계를 개편해 주문 1건당 5.8%를 떼겠다는 것이다. 하지만 소상공인연합회는 이런 정책이 일방적인 수수료 인상이라며 강한 유감을 표했다.     소상공인연합회가 지난 3일 낸 논평에 따르면 변경된 정책으로 기존보다 수수료를 적게 내는 경우는 월매출 155만원 이하의 점포에만 해당된다. 이는 일매출 5만원에 불과한 것으로 대부분의 소상공인은 사실상 엄청난 폭의 인상을 감내해야 한다는 게 연합회 주장이다.     소상공인연합회는 ""금액에 제한이 있는 정액제와 비교해 매출 규모에 따라 수수료가 기하급수로 증가하는 정률제는 소상공인들에게 큰 부담이 될 것""이라며 ""공정거래위원회가 이 같은 꼼수 가격 인상에 대해 상세히 조사해야 한다""고 촉구했다.      김지혜 기자 kim.jihye6@joongang.co.kr  ▶ 그래서, 팩트가 뭐야? 궁금하면 '팩플'▶ 내 돈 관리는 '그게머니' / 중앙일보 가기ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지"
1,"식목일에 강릉 간 文대통령 부부, 산불 피해지에 금강소나무 심어",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003520953&date=20200405&type=1&rankingSeq=2&rankingSectionId=100,"작년 산불 피해 주민 등 40여명과 함께 식수文대통령 든 삽은 산불 피해 나무로 만든 삽2018년엔 靑경내 식수, 작년엔 행사 취소문재인 대통령과 김정숙 여사는 5일 식목일을 맞아 작년 4월 대형 산불로 큰 피해를 입은 강원도 강릉시 옥계면을 방문했다. 지난해 4월 26일 강원 산불 피해 지역을 찾은 뒤 약 1년 만에 다시 현장을 찾은 것이다. 옥계면은 당시 산불로 강원도에서 가장 넓은 1033㏊의 피해를 입었던 지역이다. 문 대통령 부부는 이곳의 산림 재조성 지역을 방문, 1년 전 산불 진화에 나섰던 주민 등과 함께 금강소나무를 심었다.문재인 대통령과 김정숙 여사가 5일 식목일을 맞아 1년 전 대형 산불로 피해를 입은 강원도 강릉시 옥계면 천남리를 방문, 재조림지에 금강소나무를 심은 뒤 마을 주민과 기념촬영을 하고 있다./연합뉴스문 대통령은 산불로 아픔을 겪은 주민들을 위로하는 한편, 산불 진화에 나섰던 산불 진화대원과 소방관, 지역 공무원 등에게 감사를 표하고 격려했다. 문 대통령은 이들과 나무 심기 행사도 함께했다. 청와대는 “작년 대형 산불을 진화한 것과 같이 정부와 국민이 힘을 합치면 코로나 사태 등 어떠한 어려움도 이겨낼 수 있다는 의지를 보여주는 ‘희망의 나무’”라고 했다.나무 심기 행사엔 산불 당시 가스통 폭발 위험에도 집에 갇혀 있던 80대 치매 어르신 등 많은 주민을 구한 장충열 강릉소방서 구조대장, 동물원 동물 1000여 마리를 구조한 최두순 강릉시청 계장, 전소 위기의 옥계중학교를 고무 호스 하나로 지켜낸 이정인 주무관, 주민 대피와 산불 진화 용수 공급에 앞장선 김학성 한라시멘트 부장 등 40여명이 참석했다. 문 대통령 부부가 식수에 사용한 삽은 지난해 산불 피해를 입었던 나무로 제작된 것이다.앞서 문 대통령 부부는 2018년 식목일엔 청와대 여민관 앞 화단에 소나무 두 그루를 심었다. 작년엔 경북 봉화에서 식목일 행사를 진행하려다 강원 산불 때문에 일정을 취소했다.작년 4월 4일 강릉·동해·속초·고성·인제 등으로 번진 강원도 산불로 남산 면적(290㏊)의 약 9.7배인 2832㏊가 피해를 입었다. 정부는 “산불 피해지 중 자연 복원을 제외한 2576ha를 2022년까지 복구 완료할 계획”이라고 밝혔다. 산불 위험이 큰 지역은 산불에 강한 내화수림대로 조성할 계획이다.문재인 대통령과 김정숙 여사가 5일 식목일을 맞아 지난해 대형 산불로 피해를 입은 강원 강릉시 옥계면 천남리 재조림 지역을 방문해 금강소나무를 심고 있다./뉴시스[안준용 기자 jahny@chosun.com]		▶ 4·15 국회의원 선거 누가 이길까		▶ 네이버에서 조선일보 구독하기		▶ 조선일보 구독 신청하기	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -"
2,"[속보] 당정, 아동·청소년 성범죄 공소시효 폐지 추진",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=081&aid=0003079844&date=20200405&type=0&rankingSeq=3&rankingSectionId=100,"[서울신문]더불어민주당과 정부가 성 착취물 공유 텔레그램 대화방인 ‘n번방’ 사건 대책으로 아동·청소년 성범죄에 대한 공소시효 폐지를 추지한다.당정은 5일 국회에서 협의회를 열고 이 같은 내용을 포함한 디지털 성범죄 수사 및 처벌 강화 방안을 발표했다.정현용 기자 junghy77@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭!▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
3,"이재명, 배달의민족 겨냥 “독과점 배달앱 횡포 억제할 것”",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=022&aid=0003453595&date=20200405&type=1&rankingSeq=4&rankingSectionId=100,"이 지사 “독과점, 불공정 거래로 불평등·격차 키우면 결국 시장경제생태계 망가지고 그 업체도 손해” / 소상공인연합회 “공정거래위원회, 배달의민족 수수료 정책 꼼수 가격 인상 상세히 조사해야”  이재명 경기도지사가 1일 서울 여의도 더불어민주당 당사에서 열린 신년인사회에 참석해 신년 희망의 메시지를 적은 족자를 들고 있다. 서울=뉴시스    이재명 경기도지사가 수수료 체계를 정액제에서 건당 부과 방식으로 바꾼 배달의 민족을 겨냥해 ”독과점의 횡포“라고 비판?다. 그는 ""공정한 경쟁질서를 만들어 주는 것이 바로 국가의 역할""이라며 문제 해결 의지도 피력했다.  이재명 지사는 4일 ·페이스북에 올린 '독과점의 횡포가 시작되는가 봅니다. 뭔가 대책을 세워야겠습니다·라는 제목의 글에서 ""(신종 코로나 바이러스 감염증(코로나19) 확산 등으로) 안 그래도 힘든 상황에서 힘 좀 가졌다고 힘없는 다수에게 피해를 입히며 부당한 이익을 얻으면 되겠나""라며 배달의 민족에 공세의 포문을 열었다.  이 지사의 발언은 배달의 민족이 수수료 체계를 바꿔 소상공인들의 부담이 되레 커졌다는 한 방송사 보도 직후 나온 것이다. 보도에 따르면 배달의 민족은 최근 수수료 체계를 정액제에서 주문 1건당 5.8%를 부과하는 방식으로 바꿨다. 방송은 수수료 부담이 5배 가까이 증가한 한 중국음식점 사례를 들며 수수료 체계개편이 연 매출 3억원 이하에 더 유리하다는 게 배달의 민족측 주장을 반박했다.  이 지사는 수수료 문제를 바로잡겠다는 의지도 피력했다. 그는 ""기득권자들의 횡포를 억제하고 다수 약자들을 보호해 실질적으로 공정한 경쟁질서를 만들어 주는 것이 바로 국가의 역할""이라며 ""독과점 배달앱의 횡포를 억제하고 합리적 경쟁체계를 만드는 방법을 강구해야겠다""고 말했다. 또 ""독과점과 불공정 거래로 불평등과 격차를 키우면 결국 시장경제생태계가 망가지고 그 업체도 결국 손해를 본다""고 했다.  배달의민족이 발표한 요금체계 개편 내용. 배달의민족 제공    한편 앞서 소상공인연합회가 배달의민족의 최근 개편한 수수료 정책이 일방적인 요금 인상이라며 강한 유감을 표했다.  소상공인연합회는 지난 3일 논평을 내 ""배달의민족이 수수료 제도를 정액제에서 정률제로 바꿨다""며 ""금액에 제한이 있는 정액제와 비교해 매출 규모에 따라 수수료가 기하급수로 증가하는 정률제는 소상공인들에게 큰 부담이 될 것""이라고 주장했다.  앞서 배달의민족은 1일 주문 성사 시 5.8%의 수수료를 부과하는 '오픈서비스' 요금 체계를 발표했다. 이는 8만8천원의 월정액 광고인 '울트라콜' 중심의 기존 요금체계를 개편한 것이다.  연합회는 ""바뀐 수수료 정책으로 기존보다 적은 수수료를 내는 경우는 월 매출 155만원 이하의 점포""라며 ""이는 일 매출 5만원에 불과한 것이어서 대부분의 소상공인은 사실상 엄청난 폭의 인상을 감내해야 한다""고 지적했다.  그러면서 ""이는 수수료를 사상 유례없이 폭등시킨 것으로, 소상공인들이 신종 코로나바이러스 감염증(코로나19) 사태로 가뜩이나 어려운 상황에 '불난 집에 부채질'한 격""이라고 비판했다.  연합회는 그러면서 ""공정거래위원회가 이 같은 꼼수 가격 인상에 대해 상세히 조사해야 한다""고 촉구했다.  김현주 기자 hjk@segye.com    ⓒ 세상을 보는 눈, 세계일보"
4,"김종인 ""경제 바이러스가 온다… 조국과 경제, 둘중 뭘 살릴거냐""",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003520961&date=20200405&type=1&rankingSeq=5&rankingSectionId=100,"대전 찾은 김종인 ""민주당 후보, 거수기 노릇""김종인 미래통합당 총괄선대위원장이 5일 대전 중구 이은권 미래통합당 21대 총선 후보자 사무실에서 열린 대전 권역 선거대책위원회 회의에 참석해 발언하고 있다. /뉴시스미래통합당 김종인 총괄선거대책위원장이 5일 대전을 찾아 “이번 (코로나) 바이러스 지나가면 ‘경제 바이러스’가 돌아온다”고 말했다. 김 위원장은 이날 대전 중구에서 열린 선거대책위원회 회의에서 “지난 3년의 경제 정책을 보면 과거 정상적으로 성장했던 경제가 (이제는) 완전히 비정상적인 상황으로 떨어지고 말았다”며 이렇게 말했다. 김 위원장은 “3년 동안 경제 정책 무능으로 인해 우리 소상공인·자영업자 등 말단의 경제주체들이 굉장히 어려움을 겪고 있다”며 “청년 실업은 20% 늘어나는데, 정부는 재정을 통해 노인 일자리를 만들고는 40% 일자리 창출을 했다며 선전에 급급하다”고 말했다.김 위원장은 여권이 친(親)조국 행태를 보이고 있다고 비판했다. 김 위원장은 “지금 여당이라고 하는 민주당 후보를 하나하나 보면 단순한 거수기에 불과하다. 민주당에 용기 있는 의원 하나 없다”며 “(조국 전 장관에 비판 발언을 했던) 금태섭 의원은 떨어뜨리고 파렴치한 조국을 받든다는 게 민주당 실태”라고 했다. 작년 9월 ‘조국 사태’ 때 소신 발언을 하고 고위공직자범죄수사처 설치법 표결 때 기권표를 던진 금 의원은 친문(親文) 지지층의 공격을 받았고 민주당 후보 경선에서 패했다.김 위원장은 “민주당 소속으로 출마한 의원들이 다음 국회에 들어간들 정상적인 의원 노릇을 다 할 수 있느냐. 그렇지 못하다”라며 “과거 군사정권에서도 여당이 지금처럼 무력한 적이 없다”고 했다.  “저는 여당을 겪어봤지만, 절대로 안되는 일을 된다고 찬성한 적 없다”고도 했다. 이어 “조국을 살릴거냐, 대한민국의 경제를 살릴거냐. 무엇이 우선인지는 삼척동자도 잘 알 것”이라며 “이 정권이 무능하다고 하지만 아무리 무능해도 그렇게 몰상식한 선거를 할려고 하는지 도저히 이해가 가지 않는다”고 했다.[주희연 기자 joo@chosun.com]		▶ 4·15 국회의원 선거 누가 이길까		▶ 네이버에서 조선일보 구독하기		▶ 조선일보 구독 신청하기	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -"
5,안철수 “의료봉사 ‘쇼’하는 것으로 만들기 위해 내가 사진만 찍는다는 가짜뉴스 퍼트렸다”,/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=022&aid=0003453597&date=20200405&type=1&rankingSeq=6&rankingSectionId=100,"안 대표 “정치인에게 중요한 것은 보여지는 게 아닌 무엇을 하는지 여부…말보다 행동이 1000배, 1만배 더 중요”  안철수(왼쪽) 국민의당 대표가 지난달 2일 오후 대구 중구 계명대학교 대구동산병원에서 코로나19 확진자 진료를 마친 뒤 땀에 젖은 채 음압병동을 나오고 있다. 연합뉴스    안철수 국민의당 대표는 5일 ""의료봉사 간 직후 쇼라고 비아냥거리는 사람들이 있었다고 한다""며 ""국민의당의 21대 총선 광고 반응이 좋다. 쇼라고 할지라도 '말보다 행동하겠다', '늘 국민 곁에 있겠다'는 역발상이 참신한 광고""라고 반박했다.  안 대표는 이날 트위터에 ""제 의료봉사를 심지어 쇼 하는 것으로 만들기 위해 제가 사진만 찍는다는 가짜뉴스를 퍼트렸다""며 ""가짜뉴스는 단 몇시간 만에 조직적으로 온라인에 쫙 깔렸다""며 이 같이 말했다.  안 대표는 ""정치인은 전 국민이 보고 있어 정치인의 모든 행동은 의도하든 아니든 정치적 메시지를 전달하게 된다""며 ""정치인에게 중요한 것은 보여지는 게 아니라 무엇을 하느냐다. 말보다 행동이 천배 만배 더 중요하다""고 강조했다.  그는 ""현 정권의 정치 쇼에 싫증을 느끼는 분들이 많다고 한다""며 ""집권 내내 이미지 정치에만 몰두한 탓이다. 정치인은 쇼만 한다고 인식하는 국민들이 현 정권에 들어서 더 많이 늘어난 것 같다""고 지적했다. 그러면서 ""저와 국민의당은 늘 현장에서 어려운 국민 곁에 있겠다""고 다짐했다.  한편 앞서 국토대종주 4일차에 접어든 안 대표가 국회의원의 체력단련을 강조했다. 회의 등에서 잠을 자는 모습을 보이면 안된다는 것이다.  안 대표는 전날(4일) 전남 구례에서 '희망과 통합의 천리길 국토대종주' 4일차를 진행했다. 전남 구례에서 출발해 전북 남원 춘향골 공설시장에 도착하면서 일정을 마무리했다. 이날까지 총 118.02Km를 달렸다.  이날 안 대표는 한 초등학생을 만나 같이 뛰면서 '개학이 미뤄져서 어떠냐'고 안부를 묻기도 했다. 공설시장에 도착해서는 시장상인과 만나 인사를 나눴다.  안 대표는 천리길(400km)의 4분의 1 구간이 지나자 ""천리길도 한걸음부터인데 사흘 반 만에 여기까지 왔다""고 소감을 말했다.  이어 ""정치인은 건강해야 한다. 정치는 우리 국가와 사회를 위한 봉사다. 체력이 좋아야 한다""며 ""그래서 달리기를 비롯해 체력을 기르는 것이 정치인의 가장 필요한 의무라고 생각한다""고 강조했다.  안 대표는 ""그래야 국제회의장 가서 조는 일도 없고, 국내행사에서도 잠자는 일도 없지 않겠나""라고 지적했다.  김현주 기자 hjk@segye.com    ⓒ 세상을 보는 눈, 세계일보"
6,"안철수 ""정부 정치쇼에 싫증…내 의료봉사가 쇼? 행동이 중요""",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002990321&date=20200405&type=1&rankingSeq=7&rankingSectionId=100,"안철수 국민의당 대표가 공식 선거운동으로 닷세째 마라톤을 이어가고 있는 가운데 5일 오전 전북 남원시 춘향골공설시장에서 출발하고 있다. 사진 국민의당        안철수 국민의당 대표가 문재인 정권이 이미지 정치에만 몰두한다며 비판했다.      안 대표는 5일 자신의 페이스북에서 ""집권 내내 이미지 정치에만 몰두한 탓에 현 정권의 '정치쇼'에 싫증을 느끼는 분들이 많다고 한다""며 ""정치인은 쇼만 한다고, 그렇게 인식하시는 국민들이 현 정권 들어 더 많이 늘어난 것 같다""고 적었다.      그는 ""제가 의료봉사 간 직후 쇼라고 비아냥거리는 사람들이 있었고 심지어 쇼하는 것으로 만들기 위해 '지인에게 들었는데 제가 사진만 찍는다'고 거짓말 가짜뉴스를 퍼트렸다""며 ""그 가짜뉴스는 단 몇 시간 만에 조직적으로 온라인에 쫙 깔렸다""고 지적했다.      이어 ""전 국민이 보고 있다 보니 정치인의 모든 행동은 의도하든 아니든 정치적인 메시지를 전달하기 때문에 정치인에게 중요한 것은 보여지는 것이 아니라 무엇을 하느냐라고 생각한다""면서 ""말보다 행동이 천배 만배 더 중요하다""고 강조했다.      안 대표는 대구 의료봉사 모습이 담긴 국민의당 21대 총선 광고와 관련해 ""쇼라고 조롱하는 것에 아랑곳하지 않고 쇼라고 할지라도 '말보다 행동하겠다', '늘 국민들 곁에 있겠다'는 역발상이 참신한 광고""라고 언급했다. 그러면서 ""안철수와 국민의당은 늘 현장에서 어려운 국민 곁에 있겠다""고 덧붙였다.      안 대표 부부는 지난달 1일부터 2주 동안 대구 동산병원에서 신종 코로나바이러스 감염증(코로나19) 관련 의료봉사를 했다. 이후 15일부터 2주간은 서울 노원구 상계동 자택에서 자가격리 시간을 가졌다.      정치 현장에 복귀한 안 대표는 지난 1일부터 전남 여수에서 출발해 400㎞ '희망과 통합의 천리길 국토대종주'를 진행하고 있다. 이날 종주 일정은 전북 남원의 춘향골 공설시장에서 달리기 시작해 전북 임실의 성수면 사무소에서 마무리한다.      김지혜 기자 kim.jihye6@joongang.co.kr   ▶ 그래서, 팩트가 뭐야? 궁금하면 '팩플'▶ 내 돈 관리는 '그게머니' / 중앙일보 가기ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지"
7,"[단독] 이낙연, 조부 묘소도 불법 조성 의혹…영광군 “사실 관계 조사 중”",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=022&aid=0003453610&date=20200405&type=1&rankingSeq=8&rankingSectionId=100,"더불어민주당 이낙연 상임선대위원장. 뉴스1    서울 종로구에 출마한 더불어민주당 이낙연 상임선대위원장이 양친의 묘소 말고도 조부의 묘소 역시 불법으로 조성했다는 의혹이 제기됐다.   5일 미래통합당은 이 위원장이 전남 영광군 법성면 삼당리에 조부의 묘지를 조성하면서 당시 전남 영광군청에 매장 사실을 신고하지 않아 장사 등에 관한 법률을 위반했다고 밝혔다.   영광군 관계자는 통합당 측의 질의에 “삼당리 산 25-2 2 (토지)대장에 묘지 조성과 관련해 신고된 내용이 없다”고 밝혔다. 영광군은 ‘이 위원장의 조부 묘소 불법조성’ 의혹을 묻는 세계일보의 질문에 “묘지 신고 내용을 확인해달라는 질의서를 전달받았다”며 “현장을 방문해 사실관계를 파악할 것”이라고 말했다. 장사 등에 관한 법률(장사법)에 따르면 시신을 매장하면, 매장 후 30일 이내에 매장지를 관할하는 단체장에게 신고해야 한다.  이 위원장은 1998년 전남 영광군 법성면 삼당리에 조부의 묘를 이장했다. 이 위원장은 2017년 국무총리 후보자 인사청문회 때 “조부의 묘를 모시고자 영광군 법성면 삼당리 임야를 매입했다”고 말했다.    더불어민주당 이낙연 상임선대위원장은 지난 1일 전남 영광의 선친 묘소가 불법이라는 군청의 통보를 받게 되자 ""법에 정해진 대로 과태료를 물고 서둘러 이장하겠다""며 ""세밀하게 따져보지 못한 점, 사과드린다""고 밝혔다. 이낙연측 제공    이 위원장은 최근 양친의 묘소를 전남 영광군 법성면 용덕리 동생이 소유한 농지에 불법으로 조성한 사실이 드러나 구설에 올랐다. 이 위원장은 1991년 법성면 용덕리에 아버지의 묘를 조성했고, 2018년 국무총리 재직 시 아버지 묘소 바로 옆에 어머니를 안장했다. 이 위원장은 사회관계망서비스(SNS)에 “어머니가 돌아가셨을 때 유언을 받들어 아버지 곁에 모셨다”며 “최근 불법이란 사실을 알았으며 법에 따라 과태료를 물고 서둘러 이장하겠다. 이번 일이 벌어진 것에 대해 사과드리며 세심히 저 자신을 살피겠다”고 전했다.  이 후보자의 동생은 2007년 한 언론 기고문에서 양친의 묘를 쓴 전남 영광군 법성면 용덕리에 대해 “고명한 풍수(묘지의 길흉을 판단하는 사람)가 ‘좋은 자리’라고 했다”고 말했다. 이 위원장이 조부의 묘를 이장한 법성면 삼당리 역시 풍수지리상 명당인 ‘대혈’로 일부 풍수가들은 꼽는다. 이 위원장 측 관계자는 이 위원장의 조부 묘지 조성 신고 여부에 대해 “확인해 보겠다”고 답했다.  이창훈 기자 corazon@segye.comⓒ 세상을 보는 눈, 세계일보"
8,"안철수 ""현 정권 '정치쇼'에 싫증 느끼는 분 많아... 우리는 진심""",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=047&aid=0002264656&date=20200405&type=1&rankingSeq=9&rankingSectionId=100,"'대구 의료봉사=정치 쇼' 비판 반박한 총선광고 소개하며 정면 반박[오마이뉴스 이경태 기자]▲ 안철수, 의료복은 땀으로  안철수 국민의당 대표가 1일 오후 대구시 중구 계명대학교 대구동산병원에서 신종코로나바이러스 감염증(코로나19) 확진자 관련 진료를 마친 뒤 비상대책본부 건물로 돌아가고 있다.         ⓒ 연합뉴스안철수 국민의당 대표가 자신의 코로나19 관련 대구 의료봉사를 '쇼'라고 비난하는 일각의 여론을 두고 ""현 정권의 정치 쇼"" 탓이라고 주장했다. 특히 자신의 대구 의료봉사를 '쇼'가 아닌 '진정성'으로 소개한 당의 총선광고를 소개하며 ""국민들 곁에 있겠다""고 밝혔다.그는 5일 본인의 페이스북·트위터를 통해 ""현 정권의 정치 쇼에 싫증을 느끼는 분들이 많다고 한다. 집권 내내 이미지 정치에만 몰두한 탓""이라며 ""정치인은 쇼만 한다고, 그렇게 인식하는 국민들이 현 정권 들어 더 많이 늘어난 것 같다""고 밝혔다.또 ""제가 의료봉사 간 직후 '쇼'라고 비아냥거리는 사람들이 있었다고 한다. 심지어 '쇼'하는 것으로 만들기 위해 '지인에게 들었는데 제(안철수)가 사진만 찍는다'고 거짓말, 가짜뉴스를 퍼트렸다""며 ""그 가짜뉴스는 단 몇 시간만에 조직적으로 온라인에 쫙 갈렸다""고 주장했다.안 대표는 그러면서 ""정치인의 모든 행동은 의도하든, 아니든 정치적인 메시지를 전달하게 된다""며 ""때문에 정치인에게 중요한 것은 보여지는 것이 아니라 무엇을 하느냐라고 생각한다. 말보다 행동이 천배, 만배 더 중요하다""고 강조했다.아울러, ""국민의당 21대 총선 광고는 쇼라고 조롱하는 것에 아랑곳하지 않고, 쇼라고 할지라도 '말보다 행동하겠다', '늘 국민들 곁에 있겠다'는 역발상이 참신한 광고다""면서 ""안철수와 국민의당은 늘 현장에서 어려운 국민들 곁에 있겠다""고 다짐했다.한편, 국민의당 총선광고는 안 대표의 대구 의료봉사 당시 사진을 기반으로 ""이것이 쇼? 우리의 쇼는 진심이다""는 내용을 담고 있다. 구체적으론 ""고글 자국으로 분장을 대신하고 방호복 속에서 땀에 흠뻑 젖어가며 매일 7시간씩 쉬지 않고 보름을 이어간 쇼"", ""근거 없는 비난으로 진심이 왜곡될지라도 일말의 망설임도 없이 위험과 맞바꾼 쇼"", ""쇼라고 불린다 해도 손가락질 받는다 해도 우리는 국민들 곁으로 갑니다"" 등의 내용을 담고 있다.저작권자(c) 오마이뉴스(시민기자), 무단 전재 및 재배포 금지▶코로나19 속보 보기 [오라이브]▶네이버에서 오마이뉴스 채널을 구독하세요▶용감하게 성교육 <이런 질문, 해도 되나요?>"
9,"文대통령, 이번엔 강원行…총선 앞두고 잇딴 `험지` 행보 주목",/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=009&aid=0004550929&date=20200405&type=1&rankingSeq=10&rankingSectionId=100,"열세지역 대구·경북이어 서해의날 충청, 4·3행사땐 제주서해의날 행사 첫 참석…대통령 4·3행사 두번 참석도 처음코로나19 등 분명한 명분 갖춰 `총선개입` 비판 어려워대통령 지지도 상승 속 `여당 프리미엄`에 野도 속내 복잡 총선을 앞둔 가운데 문재인 대통령의 최근 지방 방문 일이 정치·이념적인 '험지'에 집중되며 눈길을 끈다.청와대에서는 이 같은 문 대통령의 행보가 총선과는 무관하다며 선을 곳고 있지만, 이를 바라보는 미래통합당 등 야당에서는 복잡한 반응이 나오고 있다. 코로나19 대응·극복 등 분명한 명분을 가진 문 대통령의 움직임을 마냥 '총선 개입'으로 규정해 비판하기도 애매하기 때문이다.문 대통령은 5일 김정숙 여사와 함께 식목일을 맞아 지난해 대형 산불 피해를 입은 강원도 강릉 지역을 찾아 산림복구 현장을 둘러보고 지역주민들과 함께 금강소나무를 심었다. 이날 문 대통령이 방문한 강릉시 옥계면은 지난해 산불로 강원도 중 가장 넓은 1033ha의 피해를 입은 지역이다. 문 대통령은 산불로 아픔을 겪은 지역 주민을 위로하고, 산불 진화에 헌신한 산불진화대원과 소방관, 지역 공무원과 주민 등 유공자들에게 감사를 표하고 격려했다.앞서 문 대통령은 지난 3일에는 제주를 찾아 제72회 제주 4·3 희생자 추념식에 참석했다. 당시 문 대통령은 희생자와 유가족들이 법에 의한 배상과 보상을 받을 수 있도록 국회에서 계류 중인 4·3특별법을 처리해 달라고 정치권에 촉구했다. 대통령이 임기중에 4·3추념식에 두차례 참석한 것은 처음이다. 지난 1일에는 코로나19로 가장 극심한 피해를 입은 대구·경북의 대표적 생산기지인 구미 국가산업단지를 방문해 기업들의 위기 극복을 위한 확실한 지원을 약속했다. 또 지난달 27일에는 △천안함 폭침 △연평도 포격도발 △연평해전 등에서 순직·전사한 영령들을 기리기 위해 제정된 '서해 수호의 날' 기념식에 직접 참석했다. 취임 후 처음이다.이러한 문 대통령의 동선은 공교롭게도 여당의 상대적 열세(강원·경북) 또는 접전(충청·제주) 지역에 몰려 있어 다양한 해석이 나온다. 시기가 고정된 이른바 '캘린더성' 행사이긴 하나, 서해수호의 날과 제주 4·3 희생자 추념식 역시 총선이 임박한 '시기'와 맞물려 여러모로 야당에서는 신경이 쓰이는 상황이다. 더구나 정부의 코로나19 방역·대응이 세계적인 호평을 받으며 국정수행 지지도가 '우상향'을 지속하고 있어, 문 대통령의 활발한 현장 행보가 선거에서 '여당 프리미엄'으로 이어질 수밖에 없는 측면도 있다.물론 청와대는 문 대통령의 활발한 현장 행보가 총선과는 전혀 무관하다는 입장이다. 앞서 문 대통령은 총선 후보 등록 시작일이었던 지난 달 26일 청와대 정무수석실에 ""선거와 관련해 일말의 오해가 없도록 다른 업무는 하지 말고, 코로나19 대응 및 경제적 어려움을 극복하는 업무에만 전념하라""고 지시한 바 있다.그러나 문 대통령의 행보를 지켜보는 통합당에서는 엇갈린 메시지가 나오고 있다. 특히 이번 코로나19 사태의 최대 피해지역이 자신들의 아성인 대구·경북인 점도 통합당으로서는 곤혹스러운 대목이다.통합당 선거대책위원회는 지난 1일 문 대통령의 구미 방문에 대해서는 경상북도와 극과 극의 입장을 밝히는 이례적 모습도 나왔다. 당시 통합당 선거대책위원회의 정연국 상근수석대변인은 ""민심 이반에 다급한 마음이야 알겠지만, 오얏나무 아래에서 갓끈을 고쳐 매지 말라고 했다""며 ""문재인 대통령은 행여 선거에 개입할 꿈도 꾸지 마시길 바란다""며 까칠한 반응을 내놨다. 그러나 정작 통합당 소속인 이철우 경북지사는 구미를 찾은 문 대통령에게 ""이번에 '국가가 있다', '정부가 있다'는 것을 느꼈다""면서 방역 대응 과정에서 적기에 부족한 것을 중앙 정부가 뒷받침해준 데 고마움을 표시했다. [김성훈 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶뉴스레터 '매콤달콤' 구독▶'매일경제' 바로가기[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
